"x"
102.9
105.7
108.4
111
113.7
116.5
119.3
121.8
124.3
126.7
128.8
130.8
132.7
134.6
136.5
138.6
140.2
141.5
142.7
143.9
145.1
146.2
147.8
149.5
151.4
153.2
154.8
156.5
158.3
159.8
161.2
162.9
164.9
167.2
168.4
169.8
171
172.2
173.5
174.5
175.4
176.7
177.9
179
180.1
181.1
182.3
183.3
184.3
185.5
186.5
187.3
188.1
188.8
189.4
190.1
190.6
191.1
191.4
191.6
191.8
191.9
192.3
192.5
192.8
193.3
193.9
194.7
195.7
197.4
198.8
200.8
202.7
204.5
206.1
208.5
210.5
212.3
214.6
216.8
219.1
220.9
223.1
224.9
226.8
229.4
232.3
234.9
237.7
240.1
242.5
244.8
246.7
248.5
250.5
252.2
253.9
255.6
257.3
258.8
260.3
262.4
264
265.7
267.4
269.1
270.8
272.6
274.5
275.8
276.7
277.7
278.7
279.7
281.1
282.2
283.5
284.8
286
287.5
289
290.5
292.6
294.9
297
299.2
301
303.4
305.7
308.2
310.6
312.9
315.3
317.6
319.6
321.6
323.7
325.6
328.2
330.2
331.9
333.5
335
336.5
337.8
339.9
342
343.9
345.9
348
349.3
350.6
352.2
353.8
355.5
357.2
359.1
360.9
362.8
364.7
366.7
368.4
370.5
373.4
376.6
380.1
383.2
386.3
389.8
393.2
396.9
400.9
404.7
408.3
412
415
417.3
418.8
420
421.4
422
422.5
422.6
422.3
421.9
422.1
422.1
422.2
422.8
423.9
425.1
426
427.8
429.6
431.3
433.1
434.8
436.4
438.1
440.1
441.9
444.1
446.6
449.7
453
456.7
460.4
464.1
467.9
471.6
475.5
479.3
483.2
486.6
489.5
492.1
494.7
