Tag;Dauer
12.11.19;0,242384259
13.11.19;0,241585648
14.11.19;0,010347222
16.11.19;0,046296296
17.11.19;0,208333333
18.11.19;0,131944444
19.11.19;0,22900463
20.11.19;0,249803241
21.11.19;0,246944444
22.11.19;0,211805556
23.11.19;0,333356481
25.11.19;0,385833333
26.11.19;0,270833333
27.11.19;0,208333333
29.11.19;0,042361111
02.12.19;0,102881944
03.12.19;0,109502315
04.12.19;0,3125
05.12.19;0,082766204
06.12.19;0,120833333
07.12.19;0,09474537
09.12.19;0,208425926
10.12.19;0,156145833
11.12.19;0,3125
12.12.19;0,285416667
13.12.19;0,083391204
14.12.19;0,089560185
15.12.19;0,089479167
16.12.19;0,156076389
17.12.19;0,168090278
18.12.19;0,333333333
20.12.19;0,041886574
28.12.19;0,165972222
30.12.19;0,108402778
02.01.20;0,126180556
03.01.20;0,098263889
06.01.20;0,155555556
07.01.20;0,102083333
08.01.20;0,225023148
09.01.20;0,083020833
10.01.20;0,104247685
12.01.20;0,260416667
13.01.20;0,300694444
14.01.20;0,26005787
15.01.20;0,1875
16.01.20;0,17724537
17.01.20;0,060416667
21.01.20;0,052083333
22.01.20;0,1875
23.01.20;0,1875
24.01.20;0,147222222
26.01.20;0,174895833
27.01.20;0,238194444
28.01.20;0,104039352
29.01.20;0,289189815
30.01.20;0,052083333
03.02.20;0,041805556
04.02.20;0,251157407
06.02.20;0,159722222
07.02.20;0,25
08.02.20;0,052083333
10.02.20;0,209444444
11.02.20;0,291805556
12.02.20;0,040659722
14.02.20;0,25005787
17.02.20;0,25
18.02.20;0,250081019
19.02.20;0,250428241
20.02.20;0,25005787
22.02.20;0,25
01.03.20;0,091412037
02.03.20;0,141655093
03.03.20;0,100034722
05.03.20;0,125
06.03.20;0,437627315
08.03.20;0,194016204
10.03.20;0,0625
11.03.20;0,052083333
12.03.20;0,083032407
13.03.20;0,093877315
15.03.20;0,063576389
16.03.20;0,16875
17.03.20;0,188865741
18.03.20;0,140717593
19.03.20;0,199409722
20.03.20;0,172974537
21.03.20;0,190659722
23.03.20;0,20462963
24.03.20;0,083333333
25.03.20;0,1840625
26.03.20;0,198506944
27.03.20;0,300625
28.03.20;0,108217593
30.03.20;0,160300926
31.03.20;0,104166667
01.04.20;0,052083333
02.04.20;0,095833333
03.04.20;0,108715278
04.04.20;0,094699074
06.04.20;0,052083333
07.04.20;0,134733796
08.04.20;0,224594907
09.04.20;0,135416667
10.04.20;0,090555556
14.04.20;0,052083333
15.04.20;0,083530093
16.04.20;0,179421296
17.04.20;0,224583333
18.04.20;0,218738426
20.04.20;0,157002315
21.04.20;0,145833333
22.04.20;0,320555556
23.04.20;0,104166667
24.04.20;0,187546296
25.04.20;0,179166667
26.04.20;0,123946759
27.04.20;0,192534722
28.04.20;0,243125
29.04.20;0,175671296
30.04.20;0,212511574
04.05.20;0,190960648
05.05.20;0,180578704
06.05.20;0,178472222
07.05.20;0,104166667
10.05.20;0,025416667
11.05.20;0,277511574
12.05.20;0,125115741
13.05.20;0,080601852
14.05.20;0,083333333
15.05.20;0,270474537
18.05.20;0,166678241
19.05.20;0,104282407
20.05.20;0,177118056
21.05.20;0,291898148
22.05.20;0,052083333
23.05.20;0,260428241
25.05.20;0,229189815
26.05.20;0,052083333
27.05.20;0,166678241
28.05.20;0,12380787
29.05.20;0,358900463
31.05.20;0,166689815
01.06.20;0,112083333
04.06.20;0,146111111
07.06.20;0,1875
08.06.20;0,227881944
09.06.20;0,219212963
10.06.20;0,177256944
11.06.20;0,052083333
12.06.20;0,052083333
14.06.20;0,083344907
15.06.20;0,188668981
16.06.20;0,25625
17.06.20;0,098310185
18.06.20;0,209895833
19.06.20;0,137824074
01.09.20;0,089131944
02.09.20;0,036921296
03.09.20;0,125
08.09.20;0,177141204
09.09.20;0,178946759
10.09.20;0,160729167
11.09.20;0,190694444
14.09.20;0,216712963
15.09.20;0,083611111
16.09.20;0,139791667
17.09.20;0,025601852
18.09.20;0,221967593
20.09.20;0,041018519
21.09.20;0,039456019
22.09.20;0,177094907
24.09.20;0,234131944
26.09.20;0,219560185
27.09.20;0,163576389
28.09.20;0,116273148
29.09.20;0,207546296
30.09.20;0,083344907
06.10.20;0,083356481
08.10.20;0,083414352
13.10.20;0,083356481
16.10.20;0,100763889
18.10.20;0,129618056
19.10.20;0,041342593
20.10.20;0,083587963
21.10.20;2,31481E-05
25.10.20;0,041666667
26.10.20;0,083344907
29.10.20;0,093761574
31.10.20;0,075011574
01.11.20;0,105578704
02.11.20;0,12505787
03.11.20;0,093229167
04.11.20;0,052083333
06.11.20;0,150659722
07.11.20;0,084050926
10.11.20;0,052083333
11.11.20;0,104247685
12.11.20;0,210972222
13.11.20;0,052083333
17.11.20;0,166678241
18.11.20;0,167164352
19.11.20;0,177083333
20.11.20;0,062511574
22.11.20;0,083368056
23.11.20;0,083356481
24.11.20;0,239664352
25.11.20;0,15625
26.11.20;0,291944444
27.11.20;0,333344907
28.11.20;0,083356481
29.11.20;0,083344907
30.11.20;0,078865741
01.12.20;0,190983796
02.12.20;0,229247685
03.12.20;0,313483796
04.12.20;0,166689815
05.12.20;0,140972222
07.12.20;0,374699074
08.12.20;0,09375
09.12.20;0,312534722
10.12.20;0,238969907
11.12.20;0,166666667
12.12.20;0,069444444
13.12.20;0,166689815
14.12.20;0,083356481
15.12.20;0,229166667
16.12.20;0,052083333
17.12.20;0,145925926
18.12.20;0,125011574
06.01.21;0,09375
