Fach;LV;Beschreibung;Start date;Start time;End date;End time;Duration;Tags;Studienphase;Semester
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;15.02.19;16:13:31;15.02.19;17:00:38;0:47:07;Vorlesung;CBK;WS2018
WINF;Betriebliche Informationssysteme I;Prüfung gelernt;15.02.19;16:13:28;15.02.19;16:13:29;0:00:01;Prüfungsvorbereitung;CBK;WS2018
WINF;Betriebliche Informationssysteme I;Prüfung gelernt;16.02.19;18:00:47;16.02.19;19:30:47;1:30:00;Prüfungsvorbereitung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;16.02.19;09:09:32;16.02.19;10:09:37;1:00:05;Vorlesung;CBK;WS2018
WINF;Betriebliche Informationssysteme I;Prüfung gelernt;17.02.19;11:12:00;17.02.19;13:12:00;2:00:00;Prüfungsvorbereitung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;17.02.19;16:12:00;17.02.19;18:12:00;2:00:00;Vorlesung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;18.02.19;10:13:09;18.02.19;11:18:25;1:05:16;Vorlesung;CBK;WS2018
WINF;Betriebliche Informationssysteme I;Prüfung gelernt;18.02.19;14:07:49;18.02.19;15:07:42;0:59:53;Prüfungsvorbereitung;CBK;WS2018
WINF;Betriebliche Informationssysteme I;Prüfung gelernt;18.02.19;11:42:58;18.02.19;12:40:54;0:57:56;Prüfungsvorbereitung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;19.02.19;09:25:15;19.02.19;14:01:58;4:36:43;Vorlesung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;20.02.19;14:17:32;20.02.19;17:32:32;3:15:00;Vorlesung;CBK;WS2018
WINF;Betriebliche Informationssysteme I;Prüfung gelernt;20.02.19;11:03:03;20.02.19;13:17:28;2:14:25;Prüfungsvorbereitung;CBK;WS2018
WINF;Betriebliche Informationssysteme I;Prüfung gelernt;20.02.19;11:03:00;20.02.19;11:03:03;0:00:03;Prüfungsvorbereitung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;21.02.19;11:29:00;21.02.19;16:29:33;5:00:33;Vorlesung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;22.02.19;11:58:00;22.02.19;15:58:21;4:00:21;Vorlesung;CBK;WS2018
WINF;Betriebliche Informationssysteme I;Prüfung gelernt;22.02.19;07:28:58;22.02.19;08:29:09;1:00:11;Prüfungsvorbereitung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;23.02.19;18:10:50;23.02.19;19:25:50;1:15:00;Vorlesung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;23.02.19;17:00:27;23.02.19;18:10:41;1:10:14;Vorlesung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;24.02.19;17:51:11;24.02.19;19:06:11;1:15:00;Vorlesung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;24.02.19;12:57:39;24.02.19;13:57:45;1:00:06;Vorlesung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;25.02.19;08:46:00;25.02.19;10:30:03;1:44:03;Vorlesung;CBK;WS2018
WINF;Betriebliche Informationssysteme I;Prüfung gelernt;25.02.19;14:58:48;25.02.19;16:13:48;1:15:00;Prüfungsvorbereitung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;25.02.19;16:45:39;25.02.19;18:00:39;1:15:00;Vorlesung;CBK;WS2018
WINF;Betriebliche Informationssysteme I;Prüfung gelernt;25.02.19;10:49:00;25.02.19;11:49:37;1:00:37;Prüfungsvorbereitung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;26.02.19;07:15:59;26.02.19;09:33:15;2:17:16;Vorlesung;CBK;WS2018
WINF;Betriebliche Informationssysteme I;Prüfung gelernt;26.02.19;16:51:53;26.02.19;18:06:53;1:15:00;Prüfungsvorbereitung;CBK;WS2018
Rechtswissenschaft;Wirtschaftsprivatrecht I;WPR 1;26.02.19;09:33:12;26.02.19;10:47:05;1:13:53;Vorlesung;CBK;WS2018
